,County,Date,Index
684,Tulare,1/25/2020,117.56
685,Tuolumne,1/25/2020,157.22
686,Ventura,1/25/2020,131.81
687,Yolo,1/25/2020,116.62
688,Yuba,1/25/2020,120.03
689,Alameda,1/26/2020,84.48
690,Amador,1/26/2020,136.38
691,Butte,1/26/2020,94.52
692,Calaveras,1/26/2020,105.04
693,Colusa,1/26/2020,118.15
694,Contra Costa,1/26/2020,82.74
695,Del Norte,1/26/2020,97.42
696,El Dorado,1/26/2020,181.33
697,Fresno,1/26/2020,83.88
698,Glenn,1/26/2020,108.85
699,Humboldt,1/26/2020,91.84
700,Imperial,1/26/2020,110.41
701,Inyo,1/26/2020,181.06
702,Kern,1/26/2020,97.58
703,Kings,1/26/2020,93.37
704,Lake,1/26/2020,88.02
705,Lassen,1/26/2020,98.36
706,Los Angeles,1/26/2020,92.24
707,Madera,1/26/2020,97.85
708,Marin,1/26/2020,94.46
709,Mariposa,1/26/2020,127.04
710,Mendocino,1/26/2020,94.51
711,Merced,1/26/2020,102.94
712,Mono,1/26/2020,228.73
713,Monterey,1/26/2020,104.1
714,Napa,1/26/2020,99.39
715,Nevada,1/26/2020,196.11
716,Orange,1/26/2020,90.81
717,Placer,1/26/2020,107.3
718,Riverside,1/26/2020,95.95
719,Sacramento,1/26/2020,85.1
720,San Benito,1/26/2020,86.34
721,San Bernardino,1/26/2020,98.68
722,San Diego,1/26/2020,90.2
723,San Francisco,1/26/2020,92.89
724,San Joaquin,1/26/2020,84.34
725,San Luis Obispo,1/26/2020,124.62
726,San Mateo,1/26/2020,76.42
727,Santa Barbara,1/26/2020,112.77
728,Santa Clara,1/26/2020,78.91
729,Santa Cruz,1/26/2020,91.5
730,Shasta,1/26/2020,80.38
731,Siskiyou,1/26/2020,105.74
732,Solano,1/26/2020,98.23
733,Sonoma,1/26/2020,87.26
734,Stanislaus,1/26/2020,80.08
735,Sutter,1/26/2020,88.28
736,Tehama,1/26/2020,104.81
737,Tulare,1/26/2020,88.2
738,Tuolumne,1/26/2020,117.66
739,Ventura,1/26/2020,107.79
740,Yolo,1/26/2020,98.34
741,Yuba,1/26/2020,91.19
742,Alameda,1/27/2020,98.83
743,Amador,1/27/2020,106.88
744,Butte,1/27/2020,110.22
745,Calaveras,1/27/2020,96.57
746,Colusa,1/27/2020,93.0
747,Contra Costa,1/27/2020,98.38
748,Del Norte,1/27/2020,87.92
749,El Dorado,1/27/2020,92.49
750,Fresno,1/27/2020,99.17
751,Glenn,1/27/2020,87.47
752,Humboldt,1/27/2020,88.63
753,Imperial,1/27/2020,102.94
754,Inyo,1/27/2020,109.87
755,Kern,1/27/2020,110.52
