County,Date,Index
Santa Cruz,1/27/2020,93.92
Shasta,1/27/2020,95.81
Siskiyou,1/27/2020,100.55
Solano,1/27/2020,99.59
Sonoma,1/27/2020,96.45
Stanislaus,1/27/2020,97.21
Sutter,1/27/2020,97.23
Tehama,1/27/2020,99.86
Tulare,1/27/2020,99.13
Tuolumne,1/27/2020,92.58
Ventura,1/27/2020,113.33
Yolo,1/27/2020,98.22
Yuba,1/27/2020,101.5
Alameda,1/28/2020,107.2
Amador,1/28/2020,102.95
Butte,1/28/2020,114.13
Calaveras,1/28/2020,102.36
Colusa,1/28/2020,104.36
Contra Costa,1/28/2020,107.52
Del Norte,1/28/2020,85.94
El Dorado,1/28/2020,89.5
Fresno,1/28/2020,98.06
Glenn,1/28/2020,99.94
Humboldt,1/28/2020,95.97
Imperial,1/28/2020,100.13
Inyo,1/28/2020,99.65
Kern,1/28/2020,107.02
Kings,1/28/2020,95.11
Lake,1/28/2020,104.01
Lassen,1/28/2020,93.59
Los Angeles,1/28/2020,107.51
Madera,1/28/2020,94.87
Marin,1/28/2020,101.91
Mariposa,1/28/2020,94.7
Mendocino,1/28/2020,94.69
Merced,1/28/2020,98.67
Mono,1/28/2020,103.85
Monterey,1/28/2020,105.96
Napa,1/28/2020,100.15
Nevada,1/28/2020,95.09
Orange,1/28/2020,110.01
Placer,1/28/2020,105.43
Riverside,1/28/2020,104.92
Sacramento,1/28/2020,105.41
San Benito,1/28/2020,97.85
San Bernardino,1/28/2020,103.44
San Diego,1/28/2020,111.88
San Francisco,1/28/2020,90.71
San Joaquin,1/28/2020,102.35
San Luis Obispo,1/28/2020,102.62
San Mateo,1/28/2020,96.56
Santa Barbara,1/28/2020,104.97
Santa Clara,1/28/2020,103.17
Santa Cruz,1/28/2020,96.76
Shasta,1/28/2020,94.68
Siskiyou,1/28/2020,103.49
Solano,1/28/2020,97.04
Sonoma,1/28/2020,98.86
Stanislaus,1/28/2020,97.75
Sutter,1/28/2020,96.37
Tehama,1/28/2020,102.42
Tulare,1/28/2020,99.7
Tuolumne,1/28/2020,107.91
Ventura,1/28/2020,114.45
Yolo,1/28/2020,99.84
Yuba,1/28/2020,101.2
Alameda,1/29/2020,106.86
Amador,1/29/2020,102.4
Butte,1/29/2020,115.22
Calaveras,1/29/2020,92.4
Colusa,1/29/2020,105.78
Contra Costa,1/29/2020,104.52
Del Norte,1/29/2020,97.94
El Dorado,1/29/2020,90.33
