county,state,population,drate,crate,date,fips,cases,deaths,state_death,state_case,case_day,death_day
Plumas,California,18807,0,26.5858457,6/1/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/2/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/3/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/4/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/5/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/6/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/7/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/8/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/9/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/10/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/11/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/12/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/13/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/14/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/15/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/16/2020,6063,4,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/17/2020,6063,5,0,52,55,1,0
Plumas,California,18807,0,26.5858457,6/18/2020,6063,5,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/19/2020,6063,5,0,52,55,0,0
Plumas,California,18807,0,26.5858457,6/20/2020,6063,5,0,52,55,0,0
Butte,California,219186,0.456233519,42.88595075,3/21/2020,6007,1,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,3/22/2020,6007,2,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,3/23/2020,6007,3,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,3/24/2020,6007,4,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,3/25/2020,6007,4,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,3/26/2020,6007,5,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,3/27/2020,6007,5,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,3/28/2020,6007,5,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,3/29/2020,6007,5,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,3/30/2020,6007,8,0,53,50,3,0
Butte,California,219186,0.456233519,42.88595075,3/31/2020,6007,8,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/1/2020,6007,8,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/2/2020,6007,10,0,53,50,2,0
Butte,California,219186,0.456233519,42.88595075,4/3/2020,6007,11,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,4/4/2020,6007,11,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/5/2020,6007,11,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/6/2020,6007,12,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,4/7/2020,6007,13,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,4/8/2020,6007,13,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/9/2020,6007,13,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/10/2020,6007,14,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,4/11/2020,6007,14,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/12/2020,6007,14,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/13/2020,6007,15,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,4/14/2020,6007,16,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,4/15/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/16/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/17/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/18/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/19/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/20/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/21/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/22/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/23/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/24/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/25/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/26/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/27/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/28/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/29/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,4/30/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/1/2020,6007,16,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/2/2020,6007,17,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,5/3/2020,6007,17,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/4/2020,6007,17,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/5/2020,6007,18,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,5/6/2020,6007,19,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,5/7/2020,6007,19,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/8/2020,6007,19,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/9/2020,6007,18,0,53,50,-1,0
Butte,California,219186,0.456233519,42.88595075,5/10/2020,6007,18,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/11/2020,6007,20,0,53,50,2,0
Butte,California,219186,0.456233519,42.88595075,5/12/2020,6007,20,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/13/2020,6007,20,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/14/2020,6007,22,0,53,50,2,0
Butte,California,219186,0.456233519,42.88595075,5/15/2020,6007,22,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/16/2020,6007,22,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/17/2020,6007,22,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/18/2020,6007,24,0,53,50,2,0
Butte,California,219186,0.456233519,42.88595075,5/19/2020,6007,26,0,53,50,2,0
Butte,California,219186,0.456233519,42.88595075,5/20/2020,6007,30,0,53,50,4,0
Butte,California,219186,0.456233519,42.88595075,5/21/2020,6007,31,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,5/22/2020,6007,34,0,53,50,3,0
Butte,California,219186,0.456233519,42.88595075,5/23/2020,6007,34,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/24/2020,6007,34,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/25/2020,6007,35,0,53,50,1,0
Butte,California,219186,0.456233519,42.88595075,5/26/2020,6007,40,0,53,50,5,0
Butte,California,219186,0.456233519,42.88595075,5/27/2020,6007,40,0,53,50,0,0
Butte,California,219186,0.456233519,42.88595075,5/28/2020,6007,40,0,53,50,0,0
