date,admin_level,admin1,admin2,fips,samples,m50,m50_index
3/11/2020,2,California,Calaveras,6009,443,14.079,81
3/12/2020,2,California,Calaveras,6009,426,16.662,96
3/13/2020,2,California,Calaveras,6009,420,16.178,93
3/14/2020,2,California,Calaveras,6009,474,5.482,31
3/15/2020,2,California,Calaveras,6009,464,6.512,37
3/16/2020,2,California,Calaveras,6009,393,10.029,58
3/17/2020,2,California,Calaveras,6009,396,9.521,55
3/18/2020,2,California,Calaveras,6009,367,7.804,45
3/19/2020,2,California,Calaveras,6009,348,6.792,39
3/20/2020,2,California,Calaveras,6009,322,9.931,57
3/21/2020,2,California,Calaveras,6009,318,3.012,17
3/22/2020,2,California,Calaveras,6009,379,2.68,15
3/23/2020,2,California,Calaveras,6009,357,7.55,43
3/24/2020,2,California,Calaveras,6009,390,4.954,28
3/25/2020,2,California,Calaveras,6009,379,1.877,10
3/26/2020,2,California,Calaveras,6009,378,4.14,24
3/27/2020,2,California,Calaveras,6009,371,9.58,55
3/28/2020,2,California,Calaveras,6009,429,0.83,4
3/29/2020,2,California,Calaveras,6009,438,0.462,2
3/30/2020,2,California,Calaveras,6009,395,3.211,18
3/31/2020,2,California,Calaveras,6009,420,2.9,16
4/1/2020,2,California,Calaveras,6009,403,3.108,18
4/2/2020,2,California,Calaveras,6009,409,2.435,14
4/3/2020,2,California,Calaveras,6009,398,3.292,19
4/4/2020,2,California,Calaveras,6009,398,0.65,3
4/5/2020,2,California,Calaveras,6009,444,0.056,0
4/6/2020,2,California,Calaveras,6009,394,3.283,19
4/7/2020,2,California,Calaveras,6009,388,3.805,22
4/8/2020,2,California,Calaveras,6009,381,4.702,27
4/9/2020,2,California,Calaveras,6009,399,1.251,7
4/10/2020,2,California,Calaveras,6009,366,4.428,25
4/11/2020,2,California,Calaveras,6009,397,2.168,12
4/12/2020,2,California,Calaveras,6009,397,0.58,3
4/13/2020,2,California,Calaveras,6009,385,2.817,16
4/14/2020,2,California,Calaveras,6009,400,2.025,11
4/15/2020,2,California,Calaveras,6009,413,1.701,9
4/16/2020,2,California,Calaveras,6009,404,3.289,19
4/17/2020,2,California,Calaveras,6009,395,5.727,33
4/18/2020,2,California,Calaveras,6009,395,2.268,13
4/19/2020,2,California,Calaveras,6009,405,2.388,13
4/21/2020,2,California,Calaveras,6009,461,3.391,19
4/22/2020,2,California,Calaveras,6009,489,3.07,17
4/23/2020,2,California,Calaveras,6009,503,3.608,20
4/24/2020,2,California,Calaveras,6009,481,1.945,11
4/25/2020,2,California,Calaveras,6009,517,2.018,11
4/26/2020,2,California,Calaveras,6009,493,1.001,5
4/27/2020,2,California,Calaveras,6009,483,3.929,22
4/28/2020,2,California,Calaveras,6009,479,1.527,8
4/29/2020,2,California,Calaveras,6009,436,4.937,28
4/30/2020,2,California,Calaveras,6009,658,5.407,31
5/1/2020,2,California,Calaveras,6009,641,7.275,42
5/2/2020,2,California,Calaveras,6009,774,3.281,19
5/3/2020,2,California,Calaveras,6009,769,4.529,26
5/4/2020,2,California,Calaveras,6009,467,4.124,23
5/5/2020,2,California,Calaveras,6009,498,6.534,37
5/6/2020,2,California,Calaveras,6009,456,9.626,55
5/7/2020,2,California,Calaveras,6009,502,2.84,16
5/8/2020,2,California,Calaveras,6009,499,6.603,38
5/9/2020,2,California,Calaveras,6009,569,3.235,18
5/10/2020,2,California,Calaveras,6009,488,2.489,14
